"state","name","iata_code","latitude","longitude","city","zip","color"
"AK","Annette Island Airport","ANN",55.0424003601074,-131.572006225586,"Metlakatla",99926,"#71de56"
"AK","Napaskiak Airport","PKA",60.70289993,-161.7779999,"Napaskiak",99559,"#71de56"
"AK","Toksook Bay Airport","OOK",60.54140091,-165.0870056,"Toksook Bay",99637,"#71de56"
"AK","Icy Bay Airport","ICY",59.96900177,-141.662002563,"Yakutat",NA,"#71de56"
"AK","Klawock Airport","KLW",55.5792007446,-133.076004028,"Klawock",99925,"#71de56"
"AK","Sparrevohn LRRS Airport","SVW",61.09740067,-155.5740051,"Lime Village",99673,"#71de56"
"AK","Saginaw Seaplane Base","SGW",56.8862991333,-134.158004761,"Kake",99830,"#71de56"
"AK","Telida Airport","TLF",63.393901824951,-153.26899719238,"Lake Minchumina",99757,"#71de56"
"AK","Ketchikan Harbor Seaplane Base","WFB",55.349899,-131.677002,"Ketchikan",99901,"#71de56"
"AK","Nunapitchuk Airport","NUP",60.905591,-162.440454,"Nunapitchuk",99641,"#71de56"
"AK","Kobuk Airport","OBU",66.9123001099,-156.897003174,"Kobuk",99751,"#71de56"
"AK","Aleknagik / New Airport","WKK",59.2826004028,-158.617996216,"Aleknagik",99555,"#71de56"
"AK","Indian Mountain LRRS Airport","UTO",65.99279785,-153.7039948,"Hughes",99745,"#71de56"
"AK","Nome Airport","OME",64.5121994018555,-165.445007324219,"Nome",99762,"#71de56"
"AK","Meyers Chuck Seaplane Base","WMK",55.7396011353,-132.255004883,"Meyers Chuck",99903,"#71de56"
"AK","Skwentna Airport","SKW",61.9653015137,-151.190994263,"Skwentna",99667,"#71de56"
"AK","Soldotna Airport","SXQ",60.475700378418,-151.033996582031,"Soldotna",99669,"#71de56"
"AK","Anvik Airport","ANV",62.646702,-160.190994,"Anvik",99558,"#71de56"
"AK","Lime Village Airport","LVD",61.3591003418,-155.440002441,"Lime Village",99673,"#71de56"
"AK","Cordova Municipal Airport","CKU",60.5438995361,-145.727005005,"Cordova",99574,"#71de56"
"AK","Portage Creek Airport","PCA",58.9065,-157.714,"Wood River",99576,"#71de56"
"AK","Beaver Airport","WBQ",66.362197876,-147.406997681,"Beaver",99724,"#71de56"
"AK","Valdez Pioneer Field","VDZ",61.13389969,-146.2480011,"Valdez",99686,"#71de56"
"AK","Bartlett Cove Seaplane Base","BQV",58.4552001953,-135.884994507,"Gustavus",99826,"#71de56"
"AK","Atqasuk Edward Burnell Sr Memorial Airport","ATK",70.4673004150391,-157.436004638672,"Atqasuk",99791,"#71de56"
"AK","Ralph Wien Memorial Airport","OTZ",66.88469696,-162.598999,"Kotzebue",99752,"#71de56"
"AK","Tuntutuliak Airport","WTL",60.3353004456,-162.667007446,"Tuntutuliak",99680,"#71de56"
"AK","Solomon State Field","SOL",64.5605,-164.4457,"Moses Point Fishing Village",99762,"#71de56"
"AK","Whale Pass Seaplane Float Harbor Facility","WWP",56.116299,-133.121994,"Coffman Cove",99918,"#71de56"
"AK","Ugnu-Kuparuk Airport","UUK",70.3308029175,-149.598007202,"Anchorage",99510,"#71de56"
"AK","Crooked Creek Airport","CKD",61.8679008484,-158.134994507,"Crooked Creek",99575,"#71de56"
"AK","Metlakatla Seaplane Base","MTM",55.131001,-131.578003,"Metlakatla",99926,"#71de56"
"AK","Lonely Air Station","LNI",70.91069794,-153.2420044,"North Slope",NA,"#71de56"
"AK","Levelock Airport","KLL",59.1281013489,-156.85899353,"Levelock",99625,"#71de56"
"AK","Amook Bay Seaplane Base","AOS",57.4715003967,-153.815002441,"Larsen Bay",99624,"#71de56"
"AK","Elim Airport","ELI",64.61470032,-162.2720032,"Elim",99739,"#71de56"
"AK","Twin Hills Airport","TWA",59.07559967041,-160.27299499512,"Togiak",99678,"#71de56"
"AK","St Paul Island Airport","SNP",57.1673011779785,-170.220001220703,"Saint Paul Island",99660,"#71de56"
"AK","Amchitka Army Airfield","AHT",51.3777777778,179.259166667,"Aleutians West",NA,"#71de56"
"AK","McKinley National Park Airport","MCL",63.7326011658,-148.910995483,"Denali National Park",99755,"#71de56"
"AK","Summit Airport","UMM",63.3315010071,-149.126998901,"Cantwell",99729,"#71de56"
"AK","Pilot Station Airport","PQS",61.934601,-162.899994,"Pilot Station",99650,"#71de56"
"AK","Robert (Bob) Curtis Memorial Airport","ORV",66.81790161,-161.0189972,"Noorvik",99763,"#71de56"
"AK","Shaktoolik Airport","SKK",64.37110138,-161.223999,"Shaktoolik",99771,"#71de56"
"AK","Eareckson Air Station","SYA",52.71229935,174.1139984,"Aleutians West",NA,"#71de56"
"AK","Loring Seaplane Base","WLR",55.6012992859,-131.636993408,"Ketchikan",99950,"#71de56"
"AK","Thorne Bay Seaplane Base","KTB",55.6879997253,-132.537002563,"Thorne Bay",99919,"#71de56"
"AK","Baranof Warm Springs Float and Seaplane Base","BNF",57.088799,-134.833146,"Sitka",99835,"#71de56"
"AK","Goodnews Airport","GNU",59.117401123,-161.57699585,"Goodnews Bay",99589,"#71de56"
"AK","Talkeetna Airport","TKA",62.320499420166,-150.09399414062,"Talkeetna",99676,"#71de56"
"AK","Kalakaket Creek AS Airport","KKK",64.4166256967,-156.820392609,"Galena",99741,"#71de56"
"AK","Koyuk Alfred Adams Airport","KKA",64.9394989014,-161.154006958,"Koyuk",99753,"#71de56"
"AK","Funter Bay Seaplane Base","FNR",58.2543983459,-134.897994995,"Tee Harbor",99801,"#71de56"
"AK","King Salmon Airport","AKN",58.67679977,-156.6490021,"King Salmon",99613,"#71de56"
"AK","Ellamar Seaplane Base","ELW",60.893818,-146.704038,"Tatitlek",99677,"#71de56"
"AK","Circle Hot Springs Airport","CHP",65.485496521,-144.610992432,"Circle Hot Springs",99730,"#71de56"
"AK","Chomley Seaplane Base","CIV",55.217,-132.21,"Mud Bay",99901,"#71de56"
"AK","Tahneta Pass Airport","HNE",61.9014015198,-147.304000854,"Glennallen",99588,"#71de56"
"AK","Hollis Clark Bay Seaplane Base","HYL",55.4816017151,-132.645996094,"Klawock",99925,"#71de56"
"AK","Ivishak Airport","IVH",69.4066,-148.2881,"Anchorage",99519,"#71de56"
"AK","Entrance Island Seaplane Base","HBH",57.412201,-133.43848,"Kake",99830,"#71de56"
