"ORIGIN","DEST","ORIGIN_CITY_NAME","DEST_CITY_NAME","AV_PASSENGERS","AV_FREIGHT","AV_MAIL","AV_DISTANCE"
"03A","OME","Granite Mountain, AK","Nome, AK",0,20000,0,147
"05A","FAI","Little Squaw, AK","Fairbanks, AK",4.5,1503,0,191
"05A","FYU","Little Squaw, AK","Fort Yukon, AK",1,50,0,105
"08A","HOM","Elizabeth Island, AK","Homer, AK",3.25,100,0,36
"1B1","HTO","Hudson, NY","East Hampton, NY",3,0,0,119
"1G4","BLD","Peach Springs, AZ","Boulder City, NV",2695.92307692308,0,0,59
"1G4","DQS","Peach Springs, AZ","Whitmore, AZ",17.2857142857143,0,0,38
"1G4","GCN","Peach Springs, AZ","Grand Canyon, AZ",3.95,0,0,94
"1G4","HSH","Peach Springs, AZ","Las Vegas, NV",18,0,0,74
"1G4","KNB","Peach Springs, AZ","Kanab, UT",0,0,0,101
"1G4","LAS","Peach Springs, AZ","Las Vegas, NV",45,0,0,75
"1G4","PGA","Peach Springs, AZ","Page, AZ",87.3333333333333,0,0,147
"1G4","VGT","Peach Springs, AZ","Las Vegas, NV",680.666666666667,0,0,79
"1NY","HPN","Penn Yan, NY","White Plains, NY",1,0,0,204
"6B0","PCT","Middlebury, VT","Princeton, NJ",1,0,0,260
"7AK","ANC","Akun, AK","Anchorage, AK",52.375,1890,0,753
"7AK","CDV","Akun, AK","Cordova, AK",9,700,0,867
"7AK","DRF","Akun, AK","Drift River, AK",2,0,0,670
"7AK","DUT","Akun, AK","Unalaska, AK",47.225,0,2.5,42
"7AK","SDP","Akun, AK","Sandpoint, AK",1,0,0,219
"A02","ADQ","Deadmans Bay, AK","Kodiak, AK",3.2,0,0,72
"A03","HOM","Hallo Bay, AK","Homer, AK",43.825,58,0,123
"A04","ADQ","Red Lake, AK","Kodiak, AK",2,0,0,76
"A27","FAI","Pogo Mines, AK","Fairbanks, AK",8,1160.91666666667,0,91
"A29","ADQ","Kiluda Bay, AK","Kodiak, AK",5.25,0,0,38
"A40","BRW","Cape Simpson, AK","Barrow, AK",7,0,0,48
"A52","HOM","Silver Salmon Creek, AK","Homer, AK",6,0,0,47
"A63","FAI","Yukon Charley Rivvers, AK","Fairbanks, AK",8.25,1539.5,0,142
"A72","HOM","Chinitna Bay, AK","Homer, AK",1.5,0,0,41
"A82","BVU","Nikiski, AK","Beluga, AK",0,4600,0,34
"A83","HOM","Petrof Point, AK","Homer, AK",0,0,0,31
