iata_code,state,name,latitude,longitude,city,zip,color,in_degree,out_degree,net_degree,total_degree,degree_centrality,closeness_centrality,betweenness_centrality
03A,,,,,,,,0,1,-1,1,0.0008496176720475786,0.0,0.0
OME,AK,Nome Airport,64.5121994018555,-165.445007324219,Nome,99762.0,#71de56,54,66,-12,120,0.10195412064570944,0.3330266543599362,0.01146984456756946
05A,,,,,,,,2,2,0,4,0.0033984706881903144,0.2899366697759025,0.0
FAI,AK,Fairbanks International Airport,64.81510162,-147.8560028,Fairbanks,99709.0,#71de56,121,154,-33,275,0.2336448598130841,0.41814231841285454,0.09976430630863044
FYU,AK,Fort Yukon Airport,66.5715026855469,-145.25,Fort Yukon,99740.0,#71de56,20,17,3,37,0.03143585386576041,0.32397310305203564,0.0008780514135536628
08A,,,,,,,,2,1,1,3,0.002548853016142736,0.24468057269702267,0.0
HOM,AK,Homer Airport,59.6455993652344,-151.477005004883,Homer,99603.0,#71de56,29,53,-24,82,0.06966864910790145,0.3300915752532072,0.01597311013786929
1B1,,,,,,,,1,1,0,2,0.0016992353440951572,0.24180330518317714,0.0
HTO,NY,East Hampton Airport,40.95959854,-72.25180054,East Hampton,11937.0,#08601f,26,18,8,44,0.03738317757009346,0.3249770482117878,0.004593335236290066
1G4,,,,,,,,5,8,-3,13,0.011045029736618521,0.24986917669274225,4.7694989203983396e-05
BLD,NV,Boulder City Municipal Airport,35.9474983215,-114.861000061,Boulder City,89005.0,#c27b00,12,12,0,24,0.020390824129141887,0.3070866572706996,0.0021582574678614057
DQS,,,,,,,,5,8,-3,13,0.011045029736618521,0.2488021197104245,1.6553244716944367e-05
GCN,AZ,Grand Canyon National Park Airport,35.9524002075195,-112.147003173828,Grand Canyon,86023.0,#803dc3,17,14,3,31,0.026338147833474938,0.320703649718483,0.003129842105191773
HSH,NV,Henderson Executive Airport,35.9728012085,-115.134002686,Henderson,89052.0,#c27b00,4,2,2,6,0.005097706032285472,0.30397128538534474,3.0075256799312486e-05
KNB,,,,,,,,5,1,4,6,0.005097706032285472,0.24980965568828947,0.0
LAS,NV,McCarran International Airport,36.08010101,-115.1520004,Las Vegas,89119.0,#c27b00,173,177,-4,350,0.29736618521665253,0.44118676254919614,0.020233421372108925
PGA,AZ,Page Municipal Airport,36.92610168,-111.447998,Page,86040.0,#803dc3,16,16,0,32,0.027187765505522515,0.3293658714131405,0.0052067725268034465
VGT,NV,North Las Vegas Airport,36.21070098877,-115.19400024414,North Las Vegas,89032.0,#c27b00,9,8,1,17,0.014443500424808835,0.28818382373713636,0.00022385938502045123
1NY,,,,,,,,0,1,-1,1,0.0008496176720475786,0.0,0.0
HPN,NY,Westchester County Airport,41.0670013427734,-73.7076034545898,West Harrison,10604.0,#08601f,152,154,-2,306,0.2599830076465591,0.3806536967620469,0.05590113854404198
6B0,,,,,,,,2,1,1,3,0.002548853016142736,0.27189549768717636,1.5775168683628423e-05
PCT,NJ,Princeton Airport,40.3992004395,-74.6588973999,Princeton,8540.0,#bdcf6e,3,3,0,6,0.005097706032285472,0.2530038442893701,0.0008192741837601652
7AK,,,,,,,,5,5,0,10,0.008496176720475786,0.3162548053617127,8.106319047108634e-06
ANC,AK,Ted Stevens Anchorage International Airport,61.1744003295898,-149.996002197266,Anchorage,99502.0,#71de56,206,217,-11,423,0.35938827527612577,0.4704804551724716,0.2661039938963264
CDV,AK,Merle K (Mudhole) Smith Airport,60.4917984,-145.4779968,Eyak,99574.0,#71de56,13,16,-3,29,0.02463891248937978,0.3399354731213741,0.0012908650514959084
DRF,AK,Drift River Airport,60.5889015198,-152.162002563,Tyonek,99682.0,#71de56,2,1,1,3,0.002548853016142736,0.3141704417553743,0.0
DUT,AK,Unalaska Airport,53.900100708,-166.544006348,Unalaska,99685.0,#71de56,16,13,3,29,0.02463891248937978,0.3200185946229598,0.0022306463808966157
SDP,AK,Sand Point Airport,55.314998626709,-160.522994995117,Sand Point,99661.0,#71de56,14,13,1,27,0.022939677145284623,0.32327402422300844,0.0004770403271313863
A02,,,,,,,,1,1,0,2,0.0016992353440951572,0.25484834376171067,0.0
ADQ,AK,Kodiak Airport,57.75,-152.4940033,Kodiak,99615.0,#71de56,44,50,-6,94,0.07986406117247238,0.3489853359665355,0.03378293589847254
A03,,,,,,,,3,1,2,4,0.0033984706881903144,0.2567827949508911,0.0
A04,,,,,,,,1,1,0,2,0.0016992353440951572,0.25484834376171067,0.0
A27,,,,,,,,1,1,0,2,0.0016992353440951572,0.28985653249846305,0.0
A29,,,,,,,,1,1,0,2,0.0016992353440951572,0.25484834376171067,0.0
